chunk_id,chunk_english,chunk_portuguese,chunk_spanish,chunk_scale,tag
52,Can we align on this? (5),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
53,Let me clarify (5),Deixe-me esclarecer,Déjame aclarar,B2,explanations
54,The data shows that (5),Os dados mostram que,Los datos muestran que,B1,presentation
55,What's your take on this? (5),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
56,We should consider (5),Devemos considerar,Deberíamos considerar,B1,explanations
57,This might be a concern (5),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
58,From a customer perspective (5),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
59,Let's move forward (5),Vamos seguir em frente,Avancemos,B1,meeting_fluency
60,I suggest that (5),Eu sugiro que,Sugiero que,B1,presentation
61,Let's get started (6),Vamos começar,Empecemos,B1,meeting_fluency
62,Can we align on this? (6),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
63,Let me clarify (6),Deixe-me esclarecer,Déjame aclarar,B2,explanations
64,The data shows that (6),Os dados mostram que,Los datos muestran que,B1,presentation
65,What's your take on this? (6),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
66,We should consider (6),Devemos considerar,Deberíamos considerar,B1,explanations
67,This might be a concern (6),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
68,From a customer perspective (6),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
69,Let's move forward (6),Vamos seguir em frente,Avancemos,B1,meeting_fluency
70,I suggest that (6),Eu sugiro que,Sugiero que,B1,presentation
71,Let's get started (7),Vamos começar,Empecemos,B1,meeting_fluency
72,Can we align on this? (7),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
73,Let me clarify (7),Deixe-me esclarecer,Déjame aclarar,B2,explanations
74,The data shows that (7),Os dados mostram que,Los datos muestran que,B1,presentation
75,What's your take on this? (7),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
76,We should consider (7),Devemos considerar,Deberíamos considerar,B1,explanations
77,This might be a concern (7),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
78,From a customer perspective (7),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
79,Let's move forward (7),Vamos seguir em frente,Avancemos,B1,meeting_fluency
80,I suggest that (7),Eu sugiro que,Sugiero que,B1,presentation
81,Let's get started (8),Vamos começar,Empecemos,B1,meeting_fluency
82,Can we align on this? (8),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
83,Let me clarify (8),Deixe-me esclarecer,Déjame aclarar,B2,explanations
84,The data shows that (8),Os dados mostram que,Los datos muestran que,B1,presentation
85,What's your take on this? (8),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
86,We should consider (8),Devemos considerar,Deberíamos considerar,B1,explanations
87,This might be a concern (8),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
88,From a customer perspective (8),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
89,Let's move forward (8),Vamos seguir em frente,Avancemos,B1,meeting_fluency
90,I suggest that (8),Eu sugiro que,Sugiero que,B1,presentation
91,Let's get started (9),Vamos começar,Empecemos,B1,meeting_fluency
92,Can we align on this? (9),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
93,Let me clarify (9),Deixe-me esclarecer,Déjame aclarar,B2,explanations
94,The data shows that (9),Os dados mostram que,Los datos muestran que,B1,presentation
95,What's your take on this? (9),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
96,We should consider (9),Devemos considerar,Deberíamos considerar,B1,explanations
97,This might be a concern (9),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
98,From a customer perspective (9),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
99,Let's move forward (9),Vamos seguir em frente,Avancemos,B1,meeting_fluency
100,I suggest that (9),Eu sugiro que,Sugiero que,B1,presentation
101,Let's get started (10),Vamos começar,Empecemos,B1,meeting_fluency
102,Can we align on this? (10),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
103,Let me clarify (10),Deixe-me esclarecer,Déjame aclarar,B2,explanations
104,The data shows that (10),Os dados mostram que,Los datos muestran que,B1,presentation
105,What's your take on this? (10),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
106,We should consider (10),Devemos considerar,Deberíamos considerar,B1,explanations
107,This might be a concern (10),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
108,From a customer perspective (10),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
109,Let's move forward (10),Vamos seguir em frente,Avancemos,B1,meeting_fluency
110,I suggest that (10),Eu sugiro que,Sugiero que,B1,presentation
111,Let's get started (11),Vamos começar,Empecemos,B1,meeting_fluency
112,Can we align on this? (11),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
113,Let me clarify (11),Deixe-me esclarecer,Déjame aclarar,B2,explanations
114,The data shows that (11),Os dados mostram que,Los datos muestran que,B1,presentation
115,What's your take on this? (11),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
116,We should consider (11),Devemos considerar,Deberíamos considerar,B1,explanations
117,This might be a concern (11),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
118,From a customer perspective (11),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
119,Let's move forward (11),Vamos seguir em frente,Avancemos,B1,meeting_fluency
120,I suggest that (11),Eu sugiro que,Sugiero que,B1,presentation
121,Let's get started (12),Vamos começar,Empecemos,B1,meeting_fluency
122,Can we align on this? (12),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
123,Let me clarify (12),Deixe-me esclarecer,Déjame aclarar,B2,explanations
124,The data shows that (12),Os dados mostram que,Los datos muestran que,B1,presentation
125,What's your take on this? (12),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
126,We should consider (12),Devemos considerar,Deberíamos considerar,B1,explanations
127,This might be a concern (12),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
128,From a customer perspective (12),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
129,Let's move forward (12),Vamos seguir em frente,Avancemos,B1,meeting_fluency
130,I suggest that (12),Eu sugiro que,Sugiero que,B1,presentation
131,Let's get started (13),Vamos começar,Empecemos,B1,meeting_fluency
132,Can we align on this? (13),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
133,Let me clarify (13),Deixe-me esclarecer,Déjame aclarar,B2,explanations
134,The data shows that (13),Os dados mostram que,Los datos muestran que,B1,presentation
135,What's your take on this? (13),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
136,We should consider (13),Devemos considerar,Deberíamos considerar,B1,explanations
137,This might be a concern (13),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
138,From a customer perspective (13),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
139,Let's move forward (13),Vamos seguir em frente,Avancemos,B1,meeting_fluency
140,I suggest that (13),Eu sugiro que,Sugiero que,B1,presentation
141,Let's get started (14),Vamos começar,Empecemos,B1,meeting_fluency
142,Can we align on this? (14),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
143,Let me clarify (14),Deixe-me esclarecer,Déjame aclarar,B2,explanations
144,The data shows that (14),Os dados mostram que,Los datos muestran que,B1,presentation
145,What's your take on this? (14),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
146,We should consider (14),Devemos considerar,Deberíamos considerar,B1,explanations
147,This might be a concern (14),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
148,From a customer perspective (14),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
149,Let's move forward (14),Vamos seguir em frente,Avancemos,B1,meeting_fluency
150,I suggest that (14),Eu sugiro que,Sugiero que,B1,presentation
151,Let's get started (15),Vamos começar,Empecemos,B1,meeting_fluency
152,Can we align on this? (15),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
153,Let me clarify (15),Deixe-me esclarecer,Déjame aclarar,B2,explanations
154,The data shows that (15),Os dados mostram que,Los datos muestran que,B1,presentation
155,What's your take on this? (15),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
156,We should consider (15),Devemos considerar,Deberíamos considerar,B1,explanations
157,This might be a concern (15),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
158,From a customer perspective (15),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
159,Let's move forward (15),Vamos seguir em frente,Avancemos,B1,meeting_fluency
160,I suggest that (15),Eu sugiro que,Sugiero que,B1,presentation
161,Let's get started (16),Vamos começar,Empecemos,B1,meeting_fluency
162,Can we align on this? (16),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
163,Let me clarify (16),Deixe-me esclarecer,Déjame aclarar,B2,explanations
164,The data shows that (16),Os dados mostram que,Los datos muestran que,B1,presentation
165,What's your take on this? (16),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
166,We should consider (16),Devemos considerar,Deberíamos considerar,B1,explanations
167,This might be a concern (16),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
168,From a customer perspective (16),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
169,Let's move forward (16),Vamos seguir em frente,Avancemos,B1,meeting_fluency
170,I suggest that (16),Eu sugiro que,Sugiero que,B1,presentation
171,Let's get started (17),Vamos começar,Empecemos,B1,meeting_fluency
172,Can we align on this? (17),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
173,Let me clarify (17),Deixe-me esclarecer,Déjame aclarar,B2,explanations
174,The data shows that (17),Os dados mostram que,Los datos muestran que,B1,presentation
175,What's your take on this? (17),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
176,We should consider (17),Devemos considerar,Deberíamos considerar,B1,explanations
177,This might be a concern (17),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
178,From a customer perspective (17),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
179,Let's move forward (17),Vamos seguir em frente,Avancemos,B1,meeting_fluency
180,I suggest that (17),Eu sugiro que,Sugiero que,B1,presentation
181,Let's get started (18),Vamos começar,Empecemos,B1,meeting_fluency
182,Can we align on this? (18),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
183,Let me clarify (18),Deixe-me esclarecer,Déjame aclarar,B2,explanations
184,The data shows that (18),Os dados mostram que,Los datos muestran que,B1,presentation
185,What's your take on this? (18),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
186,We should consider (18),Devemos considerar,Deberíamos considerar,B1,explanations
187,This might be a concern (18),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
188,From a customer perspective (18),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
189,Let's move forward (18),Vamos seguir em frente,Avancemos,B1,meeting_fluency
190,I suggest that (18),Eu sugiro que,Sugiero que,B1,presentation
191,Let's get started (19),Vamos começar,Empecemos,B1,meeting_fluency
192,Can we align on this? (19),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
193,Let me clarify (19),Deixe-me esclarecer,Déjame aclarar,B2,explanations
194,The data shows that (19),Os dados mostram que,Los datos muestran que,B1,presentation
195,What's your take on this? (19),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
196,We should consider (19),Devemos considerar,Deberíamos considerar,B1,explanations
197,This might be a concern (19),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
198,From a customer perspective (19),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
199,Let's move forward (19),Vamos seguir em frente,Avancemos,B1,meeting_fluency
200,I suggest that (19),Eu sugiro que,Sugiero que,B1,presentation
201,Let's get started (20),Vamos começar,Empecemos,B1,meeting_fluency
202,Can we align on this? (20),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
203,Let me clarify (20),Deixe-me esclarecer,Déjame aclarar,B2,explanations
204,The data shows that (20),Os dados mostram que,Los datos muestran que,B1,presentation
205,What's your take on this? (20),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
206,We should consider (20),Devemos considerar,Deberíamos considerar,B1,explanations
207,This might be a concern (20),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
208,From a customer perspective (20),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
209,Let's move forward (20),Vamos seguir em frente,Avancemos,B1,meeting_fluency
210,I suggest that (20),Eu sugiro que,Sugiero que,B1,presentation
211,Let's get started (21),Vamos começar,Empecemos,B1,meeting_fluency
212,Can we align on this? (21),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
213,Let me clarify (21),Deixe-me esclarecer,Déjame aclarar,B2,explanations
214,The data shows that (21),Os dados mostram que,Los datos muestran que,B1,presentation
215,What's your take on this? (21),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
216,We should consider (21),Devemos considerar,Deberíamos considerar,B1,explanations
217,This might be a concern (21),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
218,From a customer perspective (21),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
219,Let's move forward (21),Vamos seguir em frente,Avancemos,B1,meeting_fluency
220,I suggest that (21),Eu sugiro que,Sugiero que,B1,presentation
221,Let's get started (22),Vamos começar,Empecemos,B1,meeting_fluency
222,Can we align on this? (22),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
223,Let me clarify (22),Deixe-me esclarecer,Déjame aclarar,B2,explanations
224,The data shows that (22),Os dados mostram que,Los datos muestran que,B1,presentation
225,What's your take on this? (22),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
226,We should consider (22),Devemos considerar,Deberíamos considerar,B1,explanations
227,This might be a concern (22),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
228,From a customer perspective (22),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
229,Let's move forward (22),Vamos seguir em frente,Avancemos,B1,meeting_fluency
230,I suggest that (22),Eu sugiro que,Sugiero que,B1,presentation
231,Let's get started (23),Vamos começar,Empecemos,B1,meeting_fluency
232,Can we align on this? (23),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
233,Let me clarify (23),Deixe-me esclarecer,Déjame aclarar,B2,explanations
234,The data shows that (23),Os dados mostram que,Los datos muestran que,B1,presentation
235,What's your take on this? (23),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
236,We should consider (23),Devemos considerar,Deberíamos considerar,B1,explanations
237,This might be a concern (23),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
238,From a customer perspective (23),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
239,Let's move forward (23),Vamos seguir em frente,Avancemos,B1,meeting_fluency
240,I suggest that (23),Eu sugiro que,Sugiero que,B1,presentation
241,Let's get started (24),Vamos começar,Empecemos,B1,meeting_fluency
242,Can we align on this? (24),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
243,Let me clarify (24),Deixe-me esclarecer,Déjame aclarar,B2,explanations
244,The data shows that (24),Os dados mostram que,Los datos muestran que,B1,presentation
245,What's your take on this? (24),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
246,We should consider (24),Devemos considerar,Deberíamos considerar,B1,explanations
247,This might be a concern (24),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
248,From a customer perspective (24),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
249,Let's move forward (24),Vamos seguir em frente,Avancemos,B1,meeting_fluency
250,I suggest that (24),Eu sugiro que,Sugiero que,B1,presentation
251,Let's get started (25),Vamos começar,Empecemos,B1,meeting_fluency
252,Can we align on this? (25),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
253,Let me clarify (25),Deixe-me esclarecer,Déjame aclarar,B2,explanations
254,The data shows that (25),Os dados mostram que,Los datos muestran que,B1,presentation
255,What's your take on this? (25),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
256,We should consider (25),Devemos considerar,Deberíamos considerar,B1,explanations
257,This might be a concern (25),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
258,From a customer perspective (25),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
259,Let's move forward (25),Vamos seguir em frente,Avancemos,B1,meeting_fluency
260,I suggest that (25),Eu sugiro que,Sugiero que,B1,presentation
261,Let's get started (26),Vamos começar,Empecemos,B1,meeting_fluency
262,Can we align on this? (26),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
263,Let me clarify (26),Deixe-me esclarecer,Déjame aclarar,B2,explanations
264,The data shows that (26),Os dados mostram que,Los datos muestran que,B1,presentation
265,What's your take on this? (26),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
266,We should consider (26),Devemos considerar,Deberíamos considerar,B1,explanations
267,This might be a concern (26),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
268,From a customer perspective (26),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
269,Let's move forward (26),Vamos seguir em frente,Avancemos,B1,meeting_fluency
270,I suggest that (26),Eu sugiro que,Sugiero que,B1,presentation
271,Let's get started (27),Vamos começar,Empecemos,B1,meeting_fluency
272,Can we align on this? (27),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
273,Let me clarify (27),Deixe-me esclarecer,Déjame aclarar,B2,explanations
274,The data shows that (27),Os dados mostram que,Los datos muestran que,B1,presentation
275,What's your take on this? (27),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
276,We should consider (27),Devemos considerar,Deberíamos considerar,B1,explanations
277,This might be a concern (27),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
278,From a customer perspective (27),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
279,Let's move forward (27),Vamos seguir em frente,Avancemos,B1,meeting_fluency
280,I suggest that (27),Eu sugiro que,Sugiero que,B1,presentation
281,Let's get started (28),Vamos começar,Empecemos,B1,meeting_fluency
282,Can we align on this? (28),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
283,Let me clarify (28),Deixe-me esclarecer,Déjame aclarar,B2,explanations
284,The data shows that (28),Os dados mostram que,Los datos muestran que,B1,presentation
285,What's your take on this? (28),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
286,We should consider (28),Devemos considerar,Deberíamos considerar,B1,explanations
287,This might be a concern (28),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
288,From a customer perspective (28),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
289,Let's move forward (28),Vamos seguir em frente,Avancemos,B1,meeting_fluency
290,I suggest that (28),Eu sugiro que,Sugiero que,B1,presentation
291,Let's get started (29),Vamos começar,Empecemos,B1,meeting_fluency
292,Can we align on this? (29),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
293,Let me clarify (29),Deixe-me esclarecer,Déjame aclarar,B2,explanations
294,The data shows that (29),Os dados mostram que,Los datos muestran que,B1,presentation
295,What's your take on this? (29),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
296,We should consider (29),Devemos considerar,Deberíamos considerar,B1,explanations
297,This might be a concern (29),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
298,From a customer perspective (29),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
299,Let's move forward (29),Vamos seguir em frente,Avancemos,B1,meeting_fluency
300,I suggest that (29),Eu sugiro que,Sugiero que,B1,presentation
301,Let's get started (30),Vamos começar,Empecemos,B1,meeting_fluency
302,Can we align on this? (30),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
303,Let me clarify (30),Deixe-me esclarecer,Déjame aclarar,B2,explanations
304,The data shows that (30),Os dados mostram que,Los datos muestran que,B1,presentation
305,What's your take on this? (30),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
306,We should consider (30),Devemos considerar,Deberíamos considerar,B1,explanations
307,This might be a concern (30),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
308,From a customer perspective (30),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
309,Let's move forward (30),Vamos seguir em frente,Avancemos,B1,meeting_fluency
310,I suggest that (30),Eu sugiro que,Sugiero que,B1,presentation
311,Let's get started (31),Vamos começar,Empecemos,B1,meeting_fluency
312,Can we align on this? (31),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
313,Let me clarify (31),Deixe-me esclarecer,Déjame aclarar,B2,explanations
314,The data shows that (31),Os dados mostram que,Los datos muestran que,B1,presentation
315,What's your take on this? (31),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
316,We should consider (31),Devemos considerar,Deberíamos considerar,B1,explanations
317,This might be a concern (31),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
318,From a customer perspective (31),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
319,Let's move forward (31),Vamos seguir em frente,Avancemos,B1,meeting_fluency
320,I suggest that (31),Eu sugiro que,Sugiero que,B1,presentation
321,Let's get started (32),Vamos começar,Empecemos,B1,meeting_fluency
322,Can we align on this? (32),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
323,Let me clarify (32),Deixe-me esclarecer,Déjame aclarar,B2,explanations
324,The data shows that (32),Os dados mostram que,Los datos muestran que,B1,presentation
325,What's your take on this? (32),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
326,We should consider (32),Devemos considerar,Deberíamos considerar,B1,explanations
327,This might be a concern (32),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
328,From a customer perspective (32),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
329,Let's move forward (32),Vamos seguir em frente,Avancemos,B1,meeting_fluency
330,I suggest that (32),Eu sugiro que,Sugiero que,B1,presentation
331,Let's get started (33),Vamos começar,Empecemos,B1,meeting_fluency
332,Can we align on this? (33),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
333,Let me clarify (33),Deixe-me esclarecer,Déjame aclarar,B2,explanations
334,The data shows that (33),Os dados mostram que,Los datos muestran que,B1,presentation
335,What's your take on this? (33),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
336,We should consider (33),Devemos considerar,Deberíamos considerar,B1,explanations
337,This might be a concern (33),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
338,From a customer perspective (33),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
339,Let's move forward (33),Vamos seguir em frente,Avancemos,B1,meeting_fluency
340,I suggest that (33),Eu sugiro que,Sugiero que,B1,presentation
